keys,en,fr
ui_welcome,Welcome to <br /> Everyday Nan7s Bingo!,Bienvenue au <br /> Bingo quotidien de Nan7s !
ui_select_stream,Select a stream:,Selectionnez un stream:
ui_category_souls_like,Souls-like,Souls-like
ui_category_art,Art,Art
ui_category_horror_games,Horror Games,Jeux d'Horreur
ui_category_other_games,Other Games, Autres Jeux
ui_about_nan,<b>Nan</b> (Nan7s_Peluche) is an independent Belgian streamer.<br />She is a clumsy clown who enjoys souls-like games<br />and drawing.,<b>Nan</b> (Nan7s_Peluche) est une streameuse indépendante Belge.<br />C'est une clown maladroite qui aime les jeux souls-like<br />et le dessin.
ui_about_credits,"Brought to you by:<br /><a href=""https://www.github.com/DayMoniakk"" target=""_blank"">DayMoniakk</a> (Developer) -<a href=""https://www.twitch.tv/nan7s_peluche"" target=""_blank"">Nan7s_Peluche</a> &<a href=""https://www.twitch.tv/gluelle"" target=""_blank"">Gluelle</a> (Art)<br /><br />Highly inspired by <a href=""https://bingo.berber.uk/"" target=""_blank"">Everyday Cerber Bingo</a>.","Proposé par:<br /><a href=""https://www.github.com/DayMoniakk"" target=""_blank"">DayMoniakk</a> (développeur) -<a href=""https://www.twitch.tv/nan7s_peluche"" target=""_blank"">Nan7s_Peluche</a> &<a href=""https://www.twitch.tv/gluelle"" target=""_blank"">Gluelle</a> (Art)<br /><br />Fortement inspiré de <a href=""https://bingo.berber.uk/"" target=""_blank"">Everyday Cerber Bingo</a>."
ui_hint_gray_tiles,The gray tiles are general actions that are not related to the current category.,Les cases grises représentent des actions générales qui ne sont pas liées à la catégorie actuelle.
ui_help,"Examine the board before the stream.<br>It has 25 randomly generated prompts that we expect <b>Nan</b> to say, do, or mention.<br><br>Once she does, click on the appropriate prompt to mark it out.<br><b>Bingo</b> is complete when all prompts in the vertical, horizontal, or diagonal row are marked out.<br>The center is free by the way.<br><br>You don't win anything by playing this Bingo; it's just for fun.<br>Your board is randomly generated specifically for you.<br>If you are not sure if the prompt needs to be marked out, ask your fellow viewers.","Examinez votre grille avant le stream.<br>Elle contient 25 actions générées aléatoirement que nous attendons <b>Nan</b> de dire, de faire ou de mentionner.<br><br>Une fois qu'elle l'a fait, cliquez sur la case appropriée pour la cocher.<br>Le <b>Bingo</b> est complet lorsque toutes les cases dans la rangée verticale, horizontale ou diagonale sont cochées.<br>La case du milieu est gratuite.<br><br>Vous ne gagnerez rien en jouant ce Bingo; c'est juste pour le fun.<br>Votre grille est générée aléatoirement spécialement pour vous.<br>Si vous n'êtes pas sûr qu'une case doive être marquée, n'hésitez pas à demander aux autres viewers."

generic_00,Tells a story about her work,Raconte une anecdote de son travail
generic_01,Puts a typo in the stream title,Met une faute de frappe dans le titre du stream
generic_02,Her dogs are barking,Ses chiens aboient
generic_03,Can't stop laughing,Est morte de rire
generic_04,Randomly curses in French,Jure en Français
generic_05,Gets jumpscared by her phone,Sursaute à cause de son téléphone
